Mace,M,5
Weaver,M,7
Boyd,M,16
Joanna,F,26
June,F,14
Hoy,M,8
Augustine,M,12
Eleanor,F,129
Lyle,M,7
Louie,M,33
Mervin,M,6
Lucille,F,40
Oral,M,8
Emerson,M,25
Lilla,F,35
Jones,M,9
Rose,M,7
Lona,F,28
Lidie,F,7
Betty,F,117
Holmes,M,6
George,F,26
Danial,M,8
Littie,F,5
Clair,F,5
Shelby,M,8
Lular,F,7
Katherine,M,5
Lula,F,621
Cliff,M,7
Bridget,F,35
Velma,F,16
Hosea,M,10
Eddie,F,12
Helma,F,6
Gilbert,M,101
Irven,M,5
Carolina,F,13
Elmo,M,15
Tempie,F,5
Eugenia,F,40
Mahala,F,9
Stonewall,M,9
Oma,F,18
Samantha,F,21
Curtis,M,68
Murdock,M,5
Sanford,M,30
Netta,F,6
Dinah,F,6
Davie,M,6
General,M,32
Kate,F,299
Amber,F,9
Buster,M,8
Virgil,M,81
Stella,F,414
Pleasant,M,17
Tyler,M,7
Blanch,F,29
Geraldine,F,7
Nels,M,12
Huey,M,5
Gracie,F,18
Clifton,M,38
Egbert,M,15
Denver,M,5
Hollis,M,7
Merle,M,17
Neal,M,43
Angus,M,17
Alec,M,11
Sid,M,7
Ida,F,1472
Aurora,F,6
Robbie,F,6
Philo,M,5
Worthy,M,5
Cato,M,6
Docia,F,25
Arthur,M,1599
Chas,M,53
Sim,M,16
Pat,M,12
Patience,F,7
Leah,F,54
Eliza,M,6
Barton,M,5
Burr,M,11
Sylvanus,M,5
Warren,M,158
Phillip,M,75
Victor,M,100
Horatio,M,15
Merrill,M,13
Joseph,F,10
Humphrey,M,5
Chalmers,M,5
Irvin,M,86
Damon,M,6
Bennett,M,15
Marilla,F,5
Lizzie,F,388
Hubert,M,59
Angela,F,7
Kizzie,F,13
Percival,M,7
Golden,M,7
Malcolm,M,18
Josiephine,F,9
Hollie,M,6
Sheppard,M,5
Peter,M,496
Essie,F,78
Neva,F,18
Osborne,M,7
Becky,F,8
Bill,M,53
Hamilton,M,17
Romeo,M,8
Berry,M,30
Tomas,M,18
Burton,M,34
Elizabeth,M,9
Ross,M,69
Frona,F,10
Orla,M,5
Emilie,F,46
Juanita,F,23
Eugenie,F,7
Gabe,M,11
Erma,F,30
Russel,M,8
Salomon,M,6
Margery,F,8
Clare,F,15
Leda,F,9
Leslie,F,8
Hervey,M,7
Pinkney,M,10
Lelia,F,65
Sadie,F,317
Mintie,F,13
Dee,F,6
Fayette,M,8
Doshia,F,6
Josiah,M,26
Cordelia,F,58
Cleo,M,5
Hallie,M,6
Erna,F,10
Elihu,M,6
Fronnie,F,5
Royal,M,26
Dona,F,18
Octavia,F,27
Carlos,M,17
Allison,M,6
Barnett,M,5
Jesse,M,569
Alva,M,70
Harriette,F,19
Adolf,M,6
Letitia,F,22
Carey,M,13
Gene,M,7
Louise,F,635
Odie,M,8
Sabina,F,6
Adaline,F,23
Phebe,F,15
Thomas,F,8
Wilburn,M,16
Carolyn,F,80
Indiana,F,9
Oda,M,6
Susan,F,286
Debbie,F,6
Isadora,F,5
Nona,F,31
Andres,M,14
Jean,F,59
Liller,F,6
Claude,M,309
Lucile,F,40
Wilton,M,7
Orion,M,5
Payton,M,5
